,Nome Vinho,Localidade,Harmoniza,Avaliação,Uva,Sentimento
0,Anderson Hill O Series Pinot Noir 2018,"Adelaide Hills, Austrália","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Excellent Pinot Noir Australia Medium body medium persistence light acidity Very good,Pinot Noir,positive
1,Anderson Hill O Series Pinot Noir 2018,"Adelaide Hills, Austrália","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",On nose red plum cherry cola red cherry clove dried herbs nutmeg tobacco leaf leather On palate raspberry red currant cranberry strawberry red plum tomato skin ripe prune fresh fig pomegranate orange peel Medium high acidity medium tannins medium body,Pinot Noir,neutral
2,Anderson Hill O Series Pinot Noir 2018,"Adelaide Hills, Austrália","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Strawberry compote cherry ripe shitake mushroom slight oak woodiness,Pinot Noir,neutral
3,Anderson Hill O Series Pinot Noir 2018,"Adelaide Hills, Austrália","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Vintage 2017 Taste  Nose Aged tangerine peel,Pinot Noir,neutral
4,Anderson Hill O Series Pinot Noir 2018,"Adelaide Hills, Austrália","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Harvest 2021,Pinot Noir,neutral
5,Anderson Hill O Series Pinot Noir 2018,"Adelaide Hills, Austrália","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2017 Harvest,Pinot Noir,neutral
6,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Great medium ruby color Deep aromatic intensity Aromas red black fruits Strawberry cherry blackberry black pepper floral mineral touches Dry Medium acidity Average alcohol Soft tannins Medium flavor intensity Medium finish,Pinot Noir,positive
7,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Beautiful clear ruby cot translucent Very elegant nose lots light red fruits strawberry raspberry Vanilla light vegetable touch floral touch pink wet earth integrated wood discreet licorice In mouth dry excellent acidity balanced medium body balanced tannins balanced alcohol moderately intense persistent fresh finish,Pinot Noir,positive
8,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Appeal radar cannon vinasse,Pinot Noir,neutral
9,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Wine tasting Caxias Sul,Pinot Noir,neutral
10,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",ABS AOC premier cru Côte Nuits tasting Grapes produced vines 60 years average With intense structured notes tobacco licorice mineral 100 Pinot Noir 135 alcohol 22 months oak barrels 10,Pinot Noir,neutral
11,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2016 Harvest,Pinot Noir,neutral
12,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2008 Harvest,Pinot Noir,neutral
13,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2009 Harvest,Pinot Noir,neutral
14,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2014 Harvest,Pinot Noir,neutral
15,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Beautiful wine nose mushroom truffle blueberry oak  earthy raspberry Smooth palate long finishing Having roast duck paired beautifully,Pinot Noir,positive
16,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",2007 Harvest,Pinot Noir,neutral
17,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Perfectly balanced Silky smooth And endless finish nook cranny Still long drinkable young Notes pinestraw damp leaves black cherry leather So leave glass half hour,Pinot Noir,positive
18,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Found it 3 days 100 pinots deep discovered Fixin The wine stuff dreams made  completely clean mirror glossy sheen The wine elegant soft silky skin long finish Strawberry Red fruit dark fruit acid age backbone limestone soil its perfect,Pinot Noir,positive
19,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Superb burgundy Nose ripe red fruits forest floor red flowers Deep red color dull shine it On palate deep red fruits crushed cranberry dark cherry Balance superb Another great Pinot savor ponder,Pinot Noir,positive
21,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Sublime Heavy cherry nose Im totally tastes heavy oak opens hints moss forest floor soil A focused conventional wine preaches gates natty funk,Pinot Noir,positive
22,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Fixin favorite fantastic High acid medium tannin elegant long tasty finish Fresh red cherry earth peppery spice cream Gets smokier strongerflavored opens Strong recommend,Pinot Noir,positive
24,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Soft red fruit delicate barrel spice whispers forest floor perfect balance fruit oak terrior,Pinot Noir,neutral
25,Domaine Pierre Gelin Fixin 1er Cru 'Clos Napoléon' 2017,"Fixin 1er Cru 'Clos Napoléon', França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",435 Fresh red berries blood sweet sugar powder,Pinot Noir,neutral
26,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Incredible wine complex balanced On palate red fruits especially strawberry hints vanilla dark chocolate,Pinot Noir,positive
27,Michel Noëllat Vosne-Romanée 2018,"Vosne-Romanée, França","Carne de vaca, Vitela, Carne de caça (cervo, veado), Aves",Amazing Pinot Vanilla cherry red fruits soft velvety tannins Mediumhigh persistence Great,Pinot Noir,positive
